Date,Power [kW],Power-1 [kW],Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Gust [m/s],Pressure [mbar],Solar Radiation [W/m2],Rainfall intensity [mm/h],Rain Day,Hour,DayOfWeek,Month,Season,Public Holiday
2017-01-08 11:00:00,47.393961,47.7061975,8.49,70.4,3.438,4.277,1031.0,408.4,0.0,0.0,11,7,1,1,0
2017-01-08 12:00:00,48.496949,47.393961,9.58,65.88,1.677,2.767,1031.0,398.5,0.0,0.0,12,7,1,1,0
2017-01-08 13:00:00,47.905251,48.496949,10.86,59.99,3.899,4.528,1029.0,473.3,0.0,0.0,13,7,1,1,0
2017-01-08 14:00:00,48.634167,47.905251,12.45,54.69,1.468,2.013,1029.0,423.8,0.0,0.0,14,7,1,1,0
2017-01-08 15:00:00,48.828195,48.634167,12.36,54.57,3.732,4.277,1028.0,328.1,0.0,0.0,15,7,1,1,0
2017-01-08 16:00:00,50.564396,48.828195,13.08,53.26,2.306,3.019,1029.0,179.9,0.0,0.0,16,7,1,1,0
2017-01-08 17:00:00,52.7583545,50.564396,12.1,53.96,1.614,2.013,1029.0,42.87,0.0,0.0,17,7,1,1,0
2017-01-08 18:00:00,52.534392,52.7583545,11.53,54.75,2.809,3.271,1029.0,0.277,0.0,0.0,18,7,1,1,0
2017-01-08 19:00:00,52.0683315,52.534392,11.38,56.81,1.887,2.516,1029.0,0.222,0.0,0.0,19,7,1,1,0
2017-01-08 20:00:00,51.5124675,52.0683315,10.41,61.53,3.816,5.283,1029.0,0.305,0.0,0.0,20,7,1,1,0
2017-01-08 21:00:00,46.574586,51.5124675,10.13,60.67,3.019,3.522,1029.0,0.138,0.0,0.0,21,7,1,1,0
2017-01-08 22:00:00,45.2624935,46.574586,9.93,52.1,2.746,3.271,1029.0,0.305,0.0,0.0,22,7,1,1,0
2017-01-08 23:00:00,46.456159,45.2624935,9.71,45.52,3.019,3.774,1029.0,0.194,0.0,0.0,23,7,1,1,0
2017-01-09 00:00:00,46.6753145,46.456159,8.99,48.92,2.306,2.516,1029.0,0.139,0.0,0.0,0,1,1,1,0
2017-01-09 01:00:00,45.348364,46.6753145,8.94,51.29,2.076,2.516,1028.0,0.36,0.0,0.0,1,1,1,1,0
2017-01-09 02:00:00,44.9211965,45.348364,8.96,53.17,1.761,2.013,1028.0,0.305,0.0,0.0,2,1,1,1,0
2017-01-09 03:00:00,44.630373,44.9211965,9.55,46.43,2.809,3.019,1028.0,0.305,0.0,0.0,3,1,1,1,0
2017-01-09 04:00:00,43.36788,44.630373,7.78,68.48,0.0,0.0,1028.0,0.332,0.0,0.0,4,1,1,1,0
2017-01-09 05:00:00,47.620764,43.36788,7.47,54.67,2.893,3.271,1028.0,0.36,0.0,0.0,5,1,1,1,0
2017-01-09 06:00:00,50.474811,47.620764,8.33,54.44,3.48,4.025,1028.0,0.249,0.0,0.0,6,1,1,1,0
2017-01-09 07:00:00,89.1831785,50.474811,6.781,62.7,1.468,1.761,1028.0,0.471,0.0,0.0,7,1,1,1,0
2017-01-09 08:00:00,113.4830005,89.1831785,5.777,81.3,1.887,2.013,1028.0,9.45,0.0,0.0,8,1,1,1,0
2017-01-09 09:00:00,129.6148555,113.4830005,7.8,65.08,0.0,0.0,1029.0,136.4,0.0,0.0,9,1,1,1,0
