Date,Temperature [°C],Relative Humidity [%],Solar Radiation [W/m2],Power [kW],Power-1 [kW],Hour,DayOfWeek,XGB Predicted Power [kW],GB Predicted Power [kW],Linear Predicted Power [kW],Neural Predicted Power [kW],Decision Tree Predicted Power [kW],Random Forest Predicted Power [kW],Bootstrapping Predicted Power [kW]
2019-02-25 03:00:00,11.53916667,71.13666667,3.29825,49.972,49.639,3,7,50.00676,50.04826076629971,49.47907831643945,49.47907831643962,48.982000000000006,49.2408677775305,49.5812
2019-02-25 04:00:00,10.88833333,72.38333333,3.487416667,48.806,49.972,4,7,50.18691,50.066412469663625,49.29955115531577,49.299551155315925,48.982000000000006,49.20698266291745,48.91489999999999
2019-02-25 05:00:00,10.22583333,74.25,4.1335,56.439,48.806,5,7,51.757828,53.10348293305352,53.10504832520978,53.10504832520991,57.5198,57.571809572291286,56.42410000000001
2019-02-25 06:00:00,9.735833333,75.75,4.124916667,60.037,56.439,6,7,66.214615,58.86336020444862,53.72001756183793,53.72001756183808,59.15333333333333,58.49565091376179,59.97859999999999
2019-02-25 07:00:00,9.8475,76.06666667,31.34058333,100.32,60.037,7,7,96.401184,100.90083629915283,102.94861016864635,102.94861016864641,101.54288888888891,100.74527642554636,100.48329999999999
2019-02-25 08:00:00,10.40166667,72.32666667,191.1833333,134.895,100.32,8,7,144.55536,137.4727194023444,132.7750494033606,132.77504940336064,136.27357142857142,136.6520655392805,135.7961
2019-02-25 09:00:00,11.7275,64.55916667,382.05,155.579,134.895,9,7,180.68379,174.8905112714249,171.10888109100705,171.10888109100702,158.14266666666668,159.81134559476678,155.62089999999998
2019-02-25 10:00:00,13.28583333,54.02833333,540.2833333,219.285,155.579,10,7,219.19362,220.17222933289764,220.72100556925793,220.7210055692578,220.7884,219.81238277919886,218.9764
2019-02-25 11:00:00,15.1375,44.98166667,649.5833333,285.744,219.285,11,7,261.0028,266.2860263956578,269.75674441962406,269.75674441962394,273.17022222222226,274.1237066960364,283.6009000000001
2019-02-25 12:00:00,16.4025,42.15833333,697.6583333,246.625,285.744,12,7,275.49442,274.5508489306794,274.46288210471766,274.4628821047176,255.6436666666667,258.6923519175496,252.38869999999997
2019-02-25 13:00:00,17.34083333,43.00416667,686.775,243.563,246.625,13,7,244.17963,244.51928144781775,245.22447057494787,245.2244705749478,242.25742857142856,241.52928997019794,241.88979999999998
2019-02-25 14:00:00,19.45,34.46583333,612.6,257.093,243.563,14,7,251.59396,254.64654533895413,257.58585122313093,257.5858512231308,259.82460000000003,261.7193077919706,260.0937
2019-02-25 15:00:00,20.93083333,28.855,484.2083333,269.292,257.093,15,7,259.35776,259.16679210101455,260.7474604662834,260.7474604662834,259.82460000000003,264.0815507540373,268.85839999999996
2019-02-25 16:00:00,20.88916667,29.46416667,280.5,270.524,269.292,16,7,267.5022,272.6528829444097,277.7839374040375,277.7839374040375,263.7865,269.3970507238426,268.9536
2019-02-25 17:00:00,20.24333333,28.89,73.485,197.822,270.524,17,7,229.24295,216.52510334238036,211.1022893969723,211.10228939697242,202.561,202.7466390915015,200.52619999999996
2019-02-25 18:00:00,19.05916667,30.79833333,5.217916667,183.543,197.822,18,7,172.9733,173.5751574979694,175.72543308527975,175.7254330852798,180.9831111111111,179.26763176358526,178.83320000000003
2019-02-25 19:00:00,18.62166667,31.46416667,0.768,141.618,183.543,19,7,140.51837,142.00357128450324,144.43105647803307,144.4310564780331,140.9588571428571,143.03911187131627,140.9753
2019-02-25 20:00:00,18.02583333,34.15833333,0.8835833333,103.074,141.618,20,7,102.7508,101.87168616174131,102.61585363927156,102.61585363927159,104.85560000000001,103.42169738617051,102.70669999999998
2019-02-25 21:00:00,17.58833333,36.57833333,0.94125,81.337,103.074,21,7,72.26998,73.58329055798998,75.41180903035455,75.41180903035453,77.9202,78.09877352786066,80.72529999999999
2019-02-25 22:00:00,16.8075,40.47,0.8580833333,61.859,81.337,22,7,66.06743,61.277997977399934,59.34174096542803,59.34174096542801,62.9018,62.300597757389376,62.187
2019-02-25 23:00:00,16.09666667,43.57666667,0.9253333333,57.521,61.859,23,7,56.49122,56.1757894565343,56.72770964238672,56.72770964238665,60.1358,58.59417638684499,57.881600000000006
2019-02-26 00:00:00,15.3475,47.78333333,1.241416667,55.116,57.521,0,1,62.992393,56.501393459329655,53.25451610868313,53.254516108683355,55.204571428571434,55.0576332728121,55.114599999999996
2019-02-26 01:00:00,13.46666667,57.15833333,2.079333333,52.249,55.116,1,1,54.218075,53.57508241589814,53.344596944713594,53.344596944713786,58.769666666666666,55.67511615032222,52.2351
2019-02-26 02:00:00,12.68916667,62.37083333,3.5145,51.902,52.249,2,1,52.341324,52.10211444688136,51.93256612102189,51.93256612102206,51.465166666666676,51.745995239415194,52.2106
2019-02-26 03:00:00,11.71416667,67.365,3.877083333,51.98,51.902,3,1,50.861183,51.07044954667401,50.959813896245905,50.95981389624606,50.87233333333334,51.246861250059254,51.544900000000005
2019-02-26 04:00:00,11.55,63.87916667,2.545916667,50.913,51.98,4,1,51.025772,51.07783909533352,50.90683397677646,50.90683397677661,54.13133333333333,52.54034910233011,52.51840000000001
